year,month,day,consumption
2018,4,13,222.59892258333335
2018,4,14,176.81376441666666
2018,4,15,154.61152279166666
2018,4,16,198.486929125
2018,4,17,152.91065654166667
2018,4,18,207.27714154166665
2018,4,19,205.503417875
2018,4,20,204.16488579166665
2018,4,21,176.35847129166666
2018,4,22,150.21443116666666
2018,4,23,197.95650604166667
2018,4,24,199.86021054166667
2018,4,25,202.67508758333335
2018,4,26,201.256202125
2018,4,27,201.60653216666665
2018,4,28,178.128227875
2018,4,29,147.733795625
2018,4,30,182.96340466666666
2018,5,1,147.67935491666665
2018,5,2,196.39830966666668
2018,5,3,202.51998187499998
2018,5,4,204.90124295833334
2018,5,5,180.83297729166668
2018,5,6,176.9551615833333
2018,5,7,197.10549295833334
2018,5,8,203.2424563333333
2018,5,9,202.40793433333332
2018,5,10,205.12086383333335
2018,5,11,204.19697954166668
2018,5,12,187.65497887499998
2018,5,13,173.90478633333336
2018,5,14,202.76422891666667
2018,5,15,219.19668420833332
2018,5,16,216.1008735833333
2018,5,17,206.90711975
2018,5,18,214.80422950000002
2018,5,19,179.56793220833333
2018,5,20,152.07229495833334
2018,5,21,154.6728055
2018,5,22,199.93783758333333
2018,5,23,202.55034791666665
2018,5,24,205.2057045
2018,5,25,203.85593079166665
2018,5,26,173.08555679166668
2018,5,27,155.056266875
2018,5,28,208.87564095833332
2018,5,29,220.47176258333334
2018,5,30,212.72034704166666
2018,5,31,196.29441766666665
2018,6,1,151.68966395833334
2018,6,2,125.44198175000001
2018,6,3,111.93499308333332
2018,6,4,146.15057958333333
2018,6,5,160.09650537500002
2018,6,6,192.39295070833336
2018,6,7,204.04070233333334
2018,6,8,193.04213958333332
2018,6,9,176.06033170833334
2018,6,10,166.07669458333334
2018,6,11,216.68576783333333
2018,6,12,225.94875712500001
2018,6,13,221.44514308333336
2018,6,14,211.83721045833332
2018,6,15,204.18086595833333
2018,6,16,164.73342241666668
2018,6,17,137.09768041666666
2018,6,18,174.70659033333334
2018,6,19,190.45252491666668
2018,6,20,193.24214400000002
2018,6,21,207.69613808333335
2018,6,22,212.70145075000002
2018,6,23,187.87974525
2018,6,24,164.53421129166665
2018,6,25,201.809755125
2018,6,26,209.61229600000001
2018,6,27,214.50176383333334
2018,6,28,225.18272791666666
2018,6,29,236.7329755833333
2018,6,30,219.65509004166665
2018,7,1,191.95134704166665
2018,7,2,195.5571623333333
2018,7,3,228.6168475833333
2018,7,4,251.53402908333337
2018,7,5,254.628594
2018,7,6,250.37234458333333
2018,7,7,215.69165304166668
2018,7,8,187.13099091666666
2018,7,9,220.488881625
2018,7,10,233.78066854166664
2018,7,11,222.60665583333332
2018,7,12,218.18372395833333
2018,7,13,205.934095375
2018,7,14,169.75268908333334
2018,7,15,164.99122450000002
2018,7,16,202.339253125
2018,7,17,227.36946308333333
2018,7,18,214.97245983333335
2018,7,19,220.59192712499998
2018,7,20,218.72216770833333
2018,7,21,203.90241225
2018,7,22,179.819938625
2018,7,23,222.14916041666666
2018,7,24,212.269144125
2018,7,25,202.64537716666666
2018,7,26,202.69884445833335
2018,7,27,218.024848625
2018,7,28,173.50166787499998
2018,7,29,155.179019125
2018,7,30,206.26164291666666
2018,7,31,208.26105479166665
2018,8,1,209.486286375
2018,8,2,223.87591066666667
2018,8,3,231.30975883333335
2018,8,4,196.39898083333333
2018,8,5,176.12186408333332
2018,8,6,218.258121
2018,8,7,196.26503158333333
2018,8,8,199.64630908333334
2018,8,9,195.99687508333332
2018,8,10,196.85302991666666
2018,8,11,164.26836925
2018,8,12,146.0622654347826
2018,8,13,192.85362004166666
2018,8,14,196.290533
2018,8,15,167.22021941666665
2018,8,16,187.90291058333332
2018,8,17,191.11891308333335
2018,8,18,172.76891675000002
2018,8,19,147.60409458333334
2018,8,20,191.94761529166666
2018,8,21,199.890557125
2018,8,22,213.16275641666667
2018,8,23,221.12782345833332
2018,8,24,213.39278245833336
2018,8,25,177.48700545833333
2018,8,26,107.44992141666667
2018,8,27,185.84802766666667
2018,8,28,195.51979570833336
2018,8,29,191.75014424999998
2018,8,30,193.76934970833335
2018,8,31,195.58710570833333
2018,9,1,159.23938629166665
2018,9,2,140.28968908333334
2018,9,3,174.328261125
2018,9,4,177.66593945833333
2018,9,5,178.64629616666664
2018,9,6,180.7493515
2018,9,7,181.72118816666668
2018,9,8,148.85811979166667
2018,9,9,81.68252091666666
2018,9,10,170.62254741666666
2018,9,11,173.75474183333333
2018,9,12,176.26570704166667
2018,9,13,177.85659254166669
2018,9,14,198.026820875
2018,9,15,177.10427095833333
2018,9,16,143.19928416666667
2018,9,17,143.651136875
2018,9,18,141.00583695833333
2018,9,19,146.75797241666666
2018,9,20,179.99267858333334
2018,9,21,189.541416625
2018,9,22,176.52930641666669
2018,9,23,164.25908125
2018,9,24,205.61190858333336
2018,9,25,212.7776021666667
2018,9,26,223.572324375
2018,9,27,219.33924558333334
2018,9,28,216.47017508333332
2018,9,29,194.37275716666667
2018,9,30,181.3151475
2018,10,1,215.17094579166667
2018,10,2,222.98528033333332
2018,10,3,218.47151275
2018,10,4,221.24037229166666
2018,10,5,219.15458462499998
2018,10,6,191.49275787500002
2018,10,7,173.691785125
2018,10,8,215.27717004166666
2018,10,9,224.28081016666667
2018,10,10,224.95819991666667
2018,10,11,216.68163570833335
2018,10,12,174.69696054166664
2018,10,13,213.63014566666666
2018,10,14,108.39924624999999
2018,10,15,163.67679483333333
2018,10,16,219.6372676666667
2018,10,17,220.99173020833334
2018,10,18,216.44877525
